Dataset,Source,Target,Test Accuracy,std
Office-CaltechBaseline,A,W,41.016949152542374,27.740215301513672
Office-CaltechBaseline,A,D,35.031847133757964,30.04245948791504
Office-CaltechBaseline,W,A,48.74739039665971,31.869081497192383
Office-CaltechBaseline,W,D,91.0828025477707,18.182191848754883
Office-CaltechBaseline,D,A,35.177453027139876,32.07413864135742
Office-CaltechBaseline,D,W,80.0,27.553524017333984
Office-CaltechDANN,A,W,80.0,18.957189559936523
Office-CaltechDANN,A,D,91.66666666666667,7.216878414154053
Office-CaltechDANN,W,A,75.69444444444444,13.874584197998047
Office-CaltechDANN,W,D,100.0,0.0
Office-CaltechDANN,D,A,77.77777777777777,17.445058822631836
Office-CaltechDANN,D,W,93.33333333333333,10.458250045776367
Office-CaltechADDA,A,W,82.22222222222223,10.206207275390625
Office-CaltechADDA,A,D,83.33333333333333,7.216878414154053
Office-CaltechADDA,W,A,75.0,11.343564987182617
Office-CaltechADDA,W,D,100.0,0.0
Office-CaltechADDA,D,A,69.44444444444444,17.268543243408203
Office-CaltechADDA,D,W,82.22222222222223,12.909944534301758
Office-CaltechCDAN,A,W,64.44444444444444,29.22612953186035
Office-CaltechCDAN,A,D,87.5,12.5
Office-CaltechCDAN,W,A,45.833333333333336,13.55815315246582
Office-CaltechCDAN,W,D,100.0,0.0
Office-CaltechCDAN,D,A,48.611111111111114,19.595584869384766
Office-CaltechCDAN,D,W,86.66666666666667,11.180339813232422
Office-CaltechCREDA,A,W,77.77777777777777,20.41241455078125
Office-CaltechCREDA,A,D,87.5,12.5
Office-CaltechCREDA,W,A,81.94444444444444,16.169042587280273
Office-CaltechCREDA,W,D,100.0,0.0
Office-CaltechCREDA,D,A,80.55555555555556,14.989102363586426
Office-CaltechCREDA,D,W,97.77777777777777,5.1031036376953125
