Dataset,Source,Target,Test Accuracy,std
MNIST-USPS-SVHNBaseline,M,U,84.44657797284323,14.08063793182373
MNIST-USPS-SVHNBaseline,M,S,19.61314277133926,14.36781120300293
MNIST-USPS-SVHNBaseline,U,M,64.975,17.51126480102539
MNIST-USPS-SVHNBaseline,U,S,7.986950052554705,9.560644149780272
MNIST-USPS-SVHNBaseline,S,M,12.915,11.83359432220459
MNIST-USPS-SVHNBaseline,S,U,66.8769716088328,18.15638542175293
MNIST-USPS-SVHNDANN,M,U,90.76782449725776,10.19908332824707
MNIST-USPS-SVHNDANN,M,S,36.38183638183638,16.89548683166504
MNIST-USPS-SVHNDANN,U,M,90.64444444444445,10.3849515914917
MNIST-USPS-SVHNDANN,U,S,21.01192101192101,14.458477973937988
MNIST-USPS-SVHNDANN,S,M,73.1,15.592751502990724
MNIST-USPS-SVHNDANN,S,U,69.6526508226691,15.920248985290527
MNIST-USPS-SVHNADDA,M,U,84.0036563071298,11.51744270324707
MNIST-USPS-SVHNADDA,M,S,11.657111657111658,11.313425064086914
MNIST-USPS-SVHNADDA,U,M,39.03333333333333,17.219860076904297
MNIST-USPS-SVHNADDA,U,S,14.723814723814725,12.278704643249512
MNIST-USPS-SVHNADDA,S,M,61.32222222222222,16.715763092041016
MNIST-USPS-SVHNADDA,S,U,63.16270566727605,15.776556968688965
MNIST-USPS-SVHNCDAN,M,U,54.20475319926874,17.521484375
MNIST-USPS-SVHNCDAN,M,S,17.326417326417328,13.39885711669922
MNIST-USPS-SVHNCDAN,U,M,12.733333333333333,12.038915634155272
MNIST-USPS-SVHNCDAN,U,S,10.956410956410956,10.736736297607422
MNIST-USPS-SVHNCDAN,S,M,30.68888888888889,16.68651008605957
MNIST-USPS-SVHNCDAN,S,U,43.875685557586834,19.333345413208008
MNIST-USPS-SVHNCREDA,M,U,91.77330895795248,9.274950981140137
MNIST-USPS-SVHNCREDA,M,S,37.36463736463737,17.779691696166992
MNIST-USPS-SVHNCREDA,U,M,80.84444444444445,14.01052188873291
MNIST-USPS-SVHNCREDA,U,S,20.52052052052052,14.154074668884276
MNIST-USPS-SVHNCREDA,S,M,76.15555555555555,14.934175491333008
MNIST-USPS-SVHNCREDA,S,U,77.78793418647166,13.540342330932615
